Name,Fibered,Crossing Number,Genus-3D,Arc Index,Grid Notation
11n_48,Y,11,3,10,[[1;2];[1;9];[2;7];[2;10];[3;1];[3;8];[4;4];[4;9];[5;6];[5;10];[6;3];[6;7];[7;5];[7;8];[8;4];[8;6];[9;2];[9;5];[10;1];[10;3]]
11n_49,Y,11,2,10,[[1;6];[1;9];[2;7];[2;10];[3;2];[3;8];[4;4];[4;9];[5;5];[5;10];[6;1];[6;6];[7;4];[7;8];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
11n_57,Y,11,4,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;6];[5;9];[6;7];[6;10];[7;1];[7;8];[8;4];[8;9];[9;5];[9;10];[10;2];[10;7]]
11n_61,Y,11,4,10,[[1;5];[1;8];[2;6];[2;9];[3;2];[3;7];[4;4];[4;10];[5;1];[5;8];[6;5];[6;9];[7;6];[7;10];[8;3];[8;7];[9;2];[9;4];[10;1];[10;3]]
11n_70,Y,11,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;8];[5;6];[5;9];[6;7];[6;10];[7;1];[7;8];[8;5];[8;9];[9;6];[9;10];[10;2];[10;7]]
11n_81,Y,11,4,10,[[1;1];[1;4];[2;2];[2;7];[3;5];[3;9];[4;6];[4;10];[5;3];[5;8];[6;4];[6;9];[7;1];[7;7];[8;2];[8;8];[9;5];[9;10];[10;3];[10;6]]
11n_82,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;5];[5;10];[6;1];[6;7];[7;2];[7;9];[8;8];[8;10];[9;6];[9;9];[10;4];[10;7]]
11n_86,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;6];[4;5];[4;9];[5;3];[5;8];[6;7];[6;10];[7;1];[7;9];[8;6];[8;10];[9;4];[9;8];[10;2];[10;7]]
11n_88,Y,11,4,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;5];[5;10];[6;1];[6;7];[7;2];[7;8];[8;6];[8;9];[9;7];[9;10];[10;4];[10;9]]
11n_92,Y,11,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;6];[4;9];[5;1];[5;8];[6;5];[6;10];[7;4];[7;9];[8;2];[8;7];[9;6];[9;10];[10;5];[10;8]]
11n_96,Y,11,3,10,[[1;6];[1;9];[2;2];[2;7];[3;4];[3;8];[4;5];[4;10];[5;1];[5;9];[6;6];[6;10];[7;4];[7;7];[8;3];[8;8];[9;2];[9;5];[10;1];[10;3]]
11n_102,Y,11,2,10,[[1;5];[1;9];[2;6];[2;10];[3;2];[3;7];[4;5];[4;8];[5;4];[5;9];[6;7];[6;10];[7;1];[7;6];[8;3];[8;8];[9;2];[9;4];[10;1];[10;3]]
11n_104,Y,11,4,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;8];[4;5];[4;9];[5;1];[5;6];[6;7];[6;10];[7;4];[7;9];[8;5];[8;8];[9;6];[9;10];[10;2];[10;7]]
11n_106,Y,11,3,10,[[1;2];[1;6];[2;5];[2;8];[3;7];[3;10];[4;4];[4;9];[5;1];[5;8];[6;6];[6;10];[7;5];[7;9];[8;3];[8;7];[9;2];[9;4];[10;1];[10;3]]
